,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
0,Kaitangata,-46.2817,169.8464,66.0,63,0,8.99,NZ,1615605260
1,Pisco,-13.7,-76.2167,71.01,94,0,4.61,PE,1615605261
2,Bambous Virieux,-20.3428,57.7575,80.6,74,40,11.5,MU,1615605263
3,Balyqshy,47.0667,51.8667,10.4,79,0,8.95,KZ,1615605264
4,Alice Springs,-23.7,133.8833,73.4,88,40,9.22,AU,1615605265
5,Padilla,3.2204,-76.3139,71.6,83,75,4.61,CO,1615605267
6,Shingū,33.7333,135.9833,57.2,67,75,20.71,JP,1615605268
7,Mastic Beach,40.7668,-72.8521,55.4,28,1,12.66,US,1615605269
8,Cape Town,-33.9258,18.4232,61.0,94,0,9.22,ZA,1615605271
9,Dravograd,46.5881,15.0192,39.0,89,99,1.92,SI,1615605272
10,Port Alfred,-33.5906,26.891,75.27,69,66,15.88,ZA,1615605273
11,Ushuaia,-54.8,-68.3,42.8,87,75,44.87,AR,1615605274
12,Port Elizabeth,-33.918,25.5701,62.6,94,63,4.61,ZA,1615605030
13,Jamestown,42.097,-79.2353,30.99,69,1,12.12,US,1615605030
14,Samarkand,39.6542,66.9597,60.8,44,40,4.61,UZ,1615605278
15,Hobart,-42.8794,147.3294,69.8,60,75,19.57,AU,1615605209
16,Pacific Grove,36.6177,-121.9166,53.6,76,75,4.61,US,1615605034
17,Kruisfontein,-34.0033,24.7314,68.77,55,57,6.31,ZA,1615605281
18,Tasiilaq,65.6145,-37.6368,10.4,92,57,1.14,GL,1615605282
19,Araxá,-19.5933,-46.9406,64.38,92,0,2.71,BR,1615605284
20,Velsk,61.0701,42.0983,14.74,91,100,11.59,RU,1615605285
21,Nizhniy Tsasuchey,50.5167,115.1333,39.63,59,0,2.73,RU,1615605286
22,Provideniya,64.3833,-173.3,30.45,96,100,31.29,RU,1615605288
23,Si Chiang Mai,17.9564,102.5867,84.0,65,3,6.91,TH,1615605289
24,Lompoc,34.6391,-120.4579,51.8,76,75,8.05,US,1615605290
25,Broome,42.2506,-75.833,33.8,51,1,16.11,US,1615605036
26,Biak,-0.9131,122.8766,83.19,71,99,2.93,ID,1615604997
27,Punta Arenas,-53.15,-70.9167,51.01,66,40,33.38,CL,1615605294
28,Mar del Plata,-38.0023,-57.5575,64.99,76,0,2.3,AR,1615605295
29,Mataura,-46.1927,168.8643,64.99,65,0,7.0,NZ,1615605296
30,Denpasar,-8.65,115.2167,95.0,59,20,6.91,ID,1615605263
31,Wasilla,61.5814,-149.4394,17.6,49,1,1.36,US,1615605299
32,Barrow,71.2906,-156.7887,-20.2,63,1,14.97,US,1615605300
33,Bredasdorp,-34.5322,20.0403,51.8,100,40,2.3,ZA,1615605301
34,Calvià,39.5657,2.5062,48.99,93,20,4.41,ES,1615605302
35,Kulhudhuffushi,6.6221,73.07,83.03,77,0,13.31,MV,1615605304
36,Tromsø,69.6496,18.957,28.4,69,75,13.8,NO,1615605305
37,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.0,46,0,20.13,RU,1615605307
38,Kapaa,22.0752,-159.319,77.0,94,75,4.61,US,1615605308
39,Rikitea,-23.1203,-134.9692,80.1,73,92,7.2,PF,1615605309
40,Kiryat Gat,31.61,34.7642,52.0,100,21,3.0,IL,1615605042
41,Albany,42.6001,-73.9662,39.2,41,20,29.93,US,1615605306
42,Katsuura,35.1333,140.3,59.0,94,90,21.85,JP,1615605313
43,Vao,-22.6667,167.4833,77.25,76,69,17.83,NC,1615605314
44,Colac,-38.3333,143.5833,57.99,96,100,12.39,AU,1615605315
45,Ahipara,-35.1667,173.1667,68.77,81,67,4.23,NZ,1615605317
46,Dodoma,-6.1722,35.7395,59.92,96,95,3.96,TZ,1615605318
47,Bundaberg,-24.85,152.35,87.01,61,90,11.5,AU,1615605319
48,Eenhana,-17.4667,16.3333,68.7,68,40,7.11,NA,1615605321
49,Luang Prabang,19.8856,102.1347,73.4,64,40,0.98,LA,1615605322
50,Lüderitz,-26.6481,15.1594,65.35,73,0,6.04,NA,1615605323
51,Moindou,-21.6924,165.677,84.2,51,90,10.36,NC,1615605324
